10,   1384
100,   1294
1000,   1473
5000 ,  2066
10000 ,  3191
15000 , 4103
20000 ,  4988
25000 ,  6109
30000 ,  7168
35000 ,  7664
40000 ,  8234
45000 ,  8921
50000 ,  9069
55000 ,  9827
60000 ,  10367
65000 ,  11336
70000 ,  18700
75000 ,  15769
80000 ,  14504
85000 ,  16517
90000 ,  15534
95000 ,  15665
100000 ,  16034
